docId,oldValue,newValue,pathKey
apotema-e-numero-fisso,https://theoremz.com/images/ap-triangolo.webp,https://theoremz.com/images/apotema-e-numero-fisso-1.webp,content[6].url
apotema-e-numero-fisso,https://theoremz.com/images/ap-quadrato.webp,https://theoremz.com/images/apotema-e-numero-fisso-2.webp,content[7].url
apotema-e-numero-fisso,https://theoremz.com/images/ap-pent.webp,https://theoremz.com/images/apotema-e-numero-fisso-3.webp,content[8].url
apotema-e-numero-fisso,https://theoremz.com/images/ap-esa.webp,https://theoremz.com/images/apotema-e-numero-fisso-4.webp,content[9].url
archi-associati,https://theoremz.com/images/32.svg,https://theoremz.com/images/archi-associati-1.svg,content[26].url
archi-associati,https://theoremz.com/images/33.svg,https://theoremz.com/images/archi-associati-2.svg,content[42].url
archi-associati,https://theoremz.com/images/34.svg,https://theoremz.com/images/archi-associati-3.svg,content[60].url
b52493f6-859c-4390-8aae-e9bc3c4a983c,https://theoremz.com/images/2711.svg,https://theoremz.com/images/baricentro-di-un-triangolo-1.svg,content[5].url
b52493f6-859c-4390-8aae-e9bc3c4a983c,https://theoremz.com/images/2712.svg,https://theoremz.com/images/baricentro-di-un-triangolo-2.svg,content[8].url
campo-elettrico,https://theoremz.com/images/ce1.webp,https://theoremz.com/images/campo-elettrico-1.webp,content[5].url
campo-elettrico,https://theoremz.com/images/ce2.webp,https://theoremz.com/images/campo-elettrico-2.webp,content[8].url
campo-elettrico,https://theoremz.com/images/ce3.webp,https://theoremz.com/images/campo-elettrico-3.webp,content[28].url
campo-elettrico,https://theoremz.com/images/ce4.webp,https://theoremz.com/images/campo-elettrico-4.webp,content[30].url
campo-elettrico,https://theoremz.com/images/ce5.webp,https://theoremz.com/images/campo-elettrico-5.webp,content[50].url
campo-elettrico,https://theoremz.com/images/ce6.webp,https://theoremz.com/images/campo-elettrico-6.webp,content[52].url
campo-elettrico,https://theoremz.com/images/ce7.webp,https://theoremz.com/images/campo-elettrico-7.webp,content[56].url
